episode,timestep,return,length
1,15,15.0,15
2,64,49.0,49
3,74,10.0,10
4,103,29.0,29
5,129,26.0,26
6,146,17.0,17
7,164,18.0,18
8,186,22.0,22
9,206,20.0,20
10,223,17.0,17
11,233,10.0,10
12,247,14.0,14
13,260,13.0,13
14,284,24.0,24
15,296,12.0,12
16,342,46.0,46
17,365,23.0,23
18,378,13.0,13
19,389,11.0,11
20,404,15.0,15
21,418,14.0,14
22,454,36.0,36
23,478,24.0,24
24,492,14.0,14
25,509,17.0,17
26,521,12.0,12
27,544,23.0,23
28,563,19.0,19
29,589,26.0,26
30,608,19.0,19
31,647,39.0,39
32,667,20.0,20
33,682,15.0,15
34,704,22.0,22
35,731,27.0,27
36,747,16.0,16
37,790,43.0,43
38,804,14.0,14
39,816,12.0,12
40,829,13.0,13
41,853,24.0,24
42,870,17.0,17
43,894,24.0,24
44,905,11.0,11
45,918,13.0,13
46,935,17.0,17
47,953,18.0,18
48,989,36.0,36
49,1012,23.0,23
50,1058,46.0,46
51,1075,17.0,17
52,1099,24.0,24
53,1111,12.0,12
54,1121,10.0,10
55,1130,9.0,9
56,1145,15.0,15
57,1215,70.0,70
58,1229,14.0,14
59,1261,32.0,32
60,1283,22.0,22
61,1294,11.0,11
62,1308,14.0,14
63,1323,15.0,15
64,1338,15.0,15
65,1356,18.0,18
66,1374,18.0,18
67,1389,15.0,15
68,1405,16.0,16
69,1422,17.0,17
70,1445,23.0,23
71,1454,9.0,9
72,1466,12.0,12
73,1477,11.0,11
74,1487,10.0,10
75,1517,30.0,30
76,1532,15.0,15
77,1560,28.0,28
78,1589,29.0,29
79,1621,32.0,32
80,1644,23.0,23
81,1709,65.0,65
82,1720,11.0,11
83,1731,11.0,11
84,1750,19.0,19
85,1780,30.0,30
86,1805,25.0,25
87,1829,24.0,24
88,1860,31.0,31
89,1880,20.0,20
90,1899,19.0,19
91,1918,19.0,19
92,1929,11.0,11
93,1941,12.0,12
94,1957,16.0,16
95,1983,26.0,26
96,2005,22.0,22
97,2031,26.0,26
98,2041,10.0,10
99,2126,85.0,85
100,2198,72.0,72
101,2226,28.0,28
102,2248,22.0,22
103,2263,15.0,15
104,2297,34.0,34
105,2315,18.0,18
106,2342,27.0,27
107,2357,15.0,15
108,2403,46.0,46
109,2420,17.0,17
110,2454,34.0,34
111,2491,37.0,37
112,2561,70.0,70
113,2591,30.0,30
114,2641,50.0,50
115,2671,30.0,30
116,2719,48.0,48
117,2786,67.0,67
118,2805,19.0,19
119,2821,16.0,16
120,2835,14.0,14
121,2860,25.0,25
122,2948,88.0,88
123,2998,50.0,50
124,3040,42.0,42
125,3052,12.0,12
126,3070,18.0,18
127,3154,84.0,84
128,3171,17.0,17
129,3258,87.0,87
130,3338,80.0,80
131,3352,14.0,14
132,3366,14.0,14
133,3474,108.0,108
134,3542,68.0,68
135,3640,98.0,98
136,3668,28.0,28
137,3713,45.0,45
138,3777,64.0,64
139,3850,73.0,73
140,3879,29.0,29
141,3942,63.0,63
142,3964,22.0,22
143,3987,23.0,23
144,4016,29.0,29
145,4089,73.0,73
146,4139,50.0,50
147,4265,126.0,126
