episode,timestep,return,length
1,15,15.0,15
2,64,49.0,49
3,74,10.0,10
4,103,29.0,29
5,129,26.0,26
6,146,17.0,17
7,164,18.0,18
8,186,22.0,22
9,206,20.0,20
10,223,17.0,17
11,233,10.0,10
12,247,14.0,14
13,260,13.0,13
14,284,24.0,24
15,296,12.0,12
16,342,46.0,46
17,365,23.0,23
18,378,13.0,13
19,389,11.0,11
20,404,15.0,15
21,418,14.0,14
22,454,36.0,36
23,478,24.0,24
24,492,14.0,14
25,509,17.0,17
26,521,12.0,12
27,544,23.0,23
28,563,19.0,19
29,589,26.0,26
30,608,19.0,19
31,647,39.0,39
32,667,20.0,20
33,682,15.0,15
34,704,22.0,22
35,731,27.0,27
36,747,16.0,16
37,790,43.0,43
38,804,14.0,14
39,816,12.0,12
40,829,13.0,13
41,853,24.0,24
42,870,17.0,17
43,894,24.0,24
44,905,11.0,11
45,918,13.0,13
46,935,17.0,17
47,953,18.0,18
48,989,36.0,36
49,1012,23.0,23
50,1050,38.0,38
51,1066,16.0,16
52,1077,11.0,11
53,1101,24.0,24
54,1118,17.0,17
55,1129,11.0,11
56,1144,15.0,15
57,1153,9.0,9
58,1179,26.0,26
59,1215,36.0,36
60,1242,27.0,27
61,1255,13.0,13
62,1280,25.0,25
63,1295,15.0,15
64,1346,51.0,51
65,1400,54.0,54
66,1414,14.0,14
67,1443,29.0,29
68,1474,31.0,31
69,1484,10.0,10
70,1499,15.0,15
71,1522,23.0,23
72,1540,18.0,18
73,1577,37.0,37
74,1587,10.0,10
75,1618,31.0,31
76,1637,19.0,19
77,1658,21.0,21
78,1677,19.0,19
79,1695,18.0,18
80,1707,12.0,12
81,1719,12.0,12
82,1732,13.0,13
83,1756,24.0,24
84,1774,18.0,18
85,1784,10.0,10
86,1823,39.0,39
87,1844,21.0,21
88,1858,14.0,14
89,1872,14.0,14
90,1885,13.0,13
91,1903,18.0,18
92,1936,33.0,33
93,1953,17.0,17
94,1965,12.0,12
95,2008,43.0,43
96,2020,12.0,12
97,2083,63.0,63
98,2107,24.0,24
99,2131,24.0,24
100,2144,13.0,13
101,2173,29.0,29
102,2191,18.0,18
103,2223,32.0,32
104,2253,30.0,30
105,2269,16.0,16
106,2338,69.0,69
107,2357,19.0,19
108,2380,23.0,23
109,2409,29.0,29
110,2454,45.0,45
111,2481,27.0,27
112,2555,74.0,74
113,2608,53.0,53
114,2654,46.0,46
115,2680,26.0,26
116,2695,15.0,15
117,2785,90.0,90
118,2829,44.0,44
119,2854,25.0,25
120,2956,102.0,102
121,3041,85.0,85
122,3070,29.0,29
123,3116,46.0,46
124,3172,56.0,56
125,3184,12.0,12
126,3267,83.0,83
127,3323,56.0,56
128,3358,35.0,35
129,3397,39.0,39
130,3533,136.0,136
131,3687,154.0,154
132,3773,86.0,86
133,3918,145.0,145
134,4069,151.0,151
135,4181,112.0,112
136,4256,75.0,75
137,4413,157.0,157
138,4560,147.0,147
139,4640,80.0,80
140,4663,23.0,23
141,4763,100.0,100
142,4913,150.0,150
143,4927,14.0,14
144,4953,26.0,26
145,5063,110.0,110
146,5114,51.0,51
147,5185,71.0,71
