episode,timestep,return,length
1,15,15.0,15
2,64,49.0,49
3,74,10.0,10
4,103,29.0,29
5,129,26.0,26
6,146,17.0,17
7,164,18.0,18
8,186,22.0,22
9,206,20.0,20
10,223,17.0,17
11,233,10.0,10
12,247,14.0,14
13,260,13.0,13
14,284,24.0,24
15,296,12.0,12
16,342,46.0,46
17,365,23.0,23
18,378,13.0,13
19,389,11.0,11
20,404,15.0,15
21,418,14.0,14
22,454,36.0,36
23,478,24.0,24
24,492,14.0,14
25,509,17.0,17
26,521,12.0,12
27,544,23.0,23
28,563,19.0,19
29,589,26.0,26
30,608,19.0,19
31,647,39.0,39
32,667,20.0,20
33,682,15.0,15
34,704,22.0,22
35,731,27.0,27
36,747,16.0,16
37,790,43.0,43
38,804,14.0,14
39,816,12.0,12
40,829,13.0,13
41,853,24.0,24
42,870,17.0,17
43,894,24.0,24
44,905,11.0,11
45,918,13.0,13
46,935,17.0,17
47,953,18.0,18
48,989,36.0,36
49,1012,23.0,23
50,1035,23.0,23
51,1051,16.0,16
52,1066,15.0,15
53,1079,13.0,13
54,1109,30.0,30
55,1120,11.0,11
56,1156,36.0,36
57,1169,13.0,13
58,1182,13.0,13
59,1201,19.0,19
60,1213,12.0,12
61,1248,35.0,35
62,1263,15.0,15
63,1277,14.0,14
64,1317,40.0,40
65,1349,32.0,32
66,1367,18.0,18
67,1398,31.0,31
68,1412,14.0,14
69,1426,14.0,14
70,1453,27.0,27
71,1467,14.0,14
72,1480,13.0,13
73,1497,17.0,17
74,1511,14.0,14
75,1548,37.0,37
76,1585,37.0,37
77,1602,17.0,17
78,1622,20.0,20
79,1639,17.0,17
80,1674,35.0,35
81,1685,11.0,11
82,1698,13.0,13
83,1712,14.0,14
84,1727,15.0,15
85,1736,9.0,9
86,1749,13.0,13
87,1770,21.0,21
88,1784,14.0,14
89,1810,26.0,26
90,1823,13.0,13
91,1833,10.0,10
92,1850,17.0,17
93,1867,17.0,17
94,1889,22.0,22
95,1903,14.0,14
96,1921,18.0,18
97,1937,16.0,16
98,1951,14.0,14
99,1965,14.0,14
100,1990,25.0,25
101,2017,27.0,27
102,2032,15.0,15
103,2044,12.0,12
104,2055,11.0,11
105,2068,13.0,13
106,2080,12.0,12
107,2096,16.0,16
108,2112,16.0,16
109,2133,21.0,21
110,2149,16.0,16
111,2168,19.0,19
112,2184,16.0,16
113,2202,18.0,18
114,2212,10.0,10
115,2223,11.0,11
116,2240,17.0,17
117,2255,15.0,15
118,2265,10.0,10
119,2288,23.0,23
120,2302,14.0,14
121,2331,29.0,29
122,2345,14.0,14
123,2357,12.0,12
124,2379,22.0,22
125,2394,15.0,15
126,2421,27.0,27
127,2457,36.0,36
128,2472,15.0,15
129,2528,56.0,56
130,2544,16.0,16
131,2592,48.0,48
132,2609,17.0,17
133,2631,22.0,22
134,2641,10.0,10
135,2675,34.0,34
136,2690,15.0,15
137,2701,11.0,11
138,2725,24.0,24
139,2737,12.0,12
140,2746,9.0,9
141,2770,24.0,24
142,2785,15.0,15
143,2812,27.0,27
144,2835,23.0,23
145,2912,77.0,77
146,2982,70.0,70
147,3009,27.0,27
