episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1067,11.0,11
47,1089,22.0,22
48,1118,29.0,29
49,1175,57.0,57
50,1190,15.0,15
51,1214,24.0,24
52,1241,27.0,27
53,1255,14.0,14
54,1274,19.0,19
55,1292,18.0,18
56,1310,18.0,18
57,1335,25.0,25
58,1359,24.0,24
59,1386,27.0,27
60,1406,20.0,20
61,1421,15.0,15
62,1444,23.0,23
63,1511,67.0,67
64,1551,40.0,40
65,1565,14.0,14
66,1583,18.0,18
67,1601,18.0,18
68,1656,55.0,55
69,1688,32.0,32
70,1697,9.0,9
71,1710,13.0,13
72,1728,18.0,18
73,1749,21.0,21
74,1786,37.0,37
75,1819,33.0,33
76,1899,80.0,80
77,1916,17.0,17
78,1929,13.0,13
79,1970,41.0,41
80,1991,21.0,21
81,2015,24.0,24
82,2032,17.0,17
83,2047,15.0,15
84,2059,12.0,12
85,2072,13.0,13
86,2111,39.0,39
87,2138,27.0,27
88,2153,15.0,15
89,2186,33.0,33
90,2219,33.0,33
91,2243,24.0,24
92,2256,13.0,13
93,2268,12.0,12
94,2281,13.0,13
95,2295,14.0,14
96,2317,22.0,22
97,2345,28.0,28
98,2393,48.0,48
99,2433,40.0,40
100,2447,14.0,14
101,2468,21.0,21
102,2552,84.0,84
103,2566,14.0,14
104,2579,13.0,13
105,2599,20.0,20
106,2614,15.0,15
107,2630,16.0,16
108,2654,24.0,24
109,2683,29.0,29
110,2708,25.0,25
111,2723,15.0,15
112,2754,31.0,31
113,2769,15.0,15
114,2802,33.0,33
115,2820,18.0,18
116,2838,18.0,18
117,2855,17.0,17
118,2869,14.0,14
119,2898,29.0,29
120,2958,60.0,60
121,2976,18.0,18
122,3015,39.0,39
123,3040,25.0,25
124,3073,33.0,33
125,3089,16.0,16
126,3100,11.0,11
127,3113,13.0,13
128,3146,33.0,33
129,3186,40.0,40
130,3201,15.0,15
131,3262,61.0,61
132,3275,13.0,13
133,3310,35.0,35
134,3384,74.0,74
135,3409,25.0,25
136,3515,106.0,106
137,3610,95.0,95
138,3646,36.0,36
139,3708,62.0,62
140,3735,27.0,27
141,3792,57.0,57
142,3828,36.0,36
143,3845,17.0,17
144,3974,129.0,129
145,3991,17.0,17
146,4050,59.0,59
147,4160,110.0,110
148,4264,104.0,104
149,4431,167.0,167
150,4553,122.0,122
151,4605,52.0,52
152,4742,137.0,137
153,4874,132.0,132
154,4888,14.0,14
155,5017,129.0,129
156,5098,81.0,81
157,5204,106.0,106
158,5277,73.0,73
159,5289,12.0,12
160,5306,17.0,17
161,5319,13.0,13
162,5337,18.0,18
163,5354,17.0,17
164,5367,13.0,13
165,5429,62.0,62
166,5444,15.0,15
167,5461,17.0,17
168,5496,35.0,35
169,5511,15.0,15
170,5540,29.0,29
171,5613,73.0,73
172,5627,14.0,14
173,5654,27.0,27
174,5751,97.0,97
175,5833,82.0,82
176,5852,19.0,19
