episode,timestep,return,length
1,29,29.0,29
2,39,10.0,10
3,50,11.0,11
4,86,36.0,36
5,99,13.0,13
6,115,16.0,16
7,132,17.0,17
8,151,19.0,19
9,188,37.0,37
10,215,27.0,27
11,230,15.0,15
12,243,13.0,13
13,266,23.0,23
14,276,10.0,10
15,305,29.0,29
16,323,18.0,18
17,334,11.0,11
18,345,11.0,11
19,391,46.0,46
20,402,11.0,11
21,434,32.0,32
22,481,47.0,47
23,497,16.0,16
24,523,26.0,26
25,557,34.0,34
26,573,16.0,16
27,592,19.0,19
28,614,22.0,22
29,638,24.0,24
30,653,15.0,15
31,664,11.0,11
32,681,17.0,17
33,694,13.0,13
34,724,30.0,30
35,740,16.0,16
36,806,66.0,66
37,837,31.0,31
38,855,18.0,18
39,880,25.0,25
40,899,19.0,19
41,909,10.0,10
42,936,27.0,27
43,948,12.0,12
44,960,12.0,12
45,974,14.0,14
46,991,17.0,17
47,1005,14.0,14
48,1020,15.0,15
49,1034,14.0,14
50,1044,10.0,10
51,1054,10.0,10
52,1071,17.0,17
53,1151,80.0,80
54,1177,26.0,26
55,1204,27.0,27
56,1218,14.0,14
57,1230,12.0,12
58,1269,39.0,39
59,1284,15.0,15
60,1296,12.0,12
61,1318,22.0,22
62,1332,14.0,14
63,1370,38.0,38
64,1381,11.0,11
65,1393,12.0,12
66,1410,17.0,17
67,1452,42.0,42
68,1463,11.0,11
69,1474,11.0,11
70,1486,12.0,12
71,1511,25.0,25
72,1540,29.0,29
73,1552,12.0,12
74,1563,11.0,11
75,1590,27.0,27
76,1613,23.0,23
77,1642,29.0,29
78,1688,46.0,46
79,1704,16.0,16
80,1713,9.0,9
81,1746,33.0,33
82,1757,11.0,11
83,1769,12.0,12
84,1782,13.0,13
85,1796,14.0,14
86,1810,14.0,14
87,1827,17.0,17
88,1845,18.0,18
89,1880,35.0,35
90,1891,11.0,11
91,1932,41.0,41
92,1963,31.0,31
93,1987,24.0,24
94,1998,11.0,11
95,2016,18.0,18
96,2028,12.0,12
97,2051,23.0,23
98,2085,34.0,34
99,2117,32.0,32
100,2136,19.0,19
101,2150,14.0,14
102,2163,13.0,13
103,2180,17.0,17
104,2192,12.0,12
105,2204,12.0,12
106,2214,10.0,10
107,2226,12.0,12
108,2252,26.0,26
109,2262,10.0,10
110,2276,14.0,14
111,2290,14.0,14
112,2306,16.0,16
113,2320,14.0,14
114,2334,14.0,14
115,2353,19.0,19
116,2370,17.0,17
117,2382,12.0,12
118,2393,11.0,11
119,2429,36.0,36
120,2441,12.0,12
121,2457,16.0,16
122,2493,36.0,36
123,2509,16.0,16
124,2522,13.0,13
125,2546,24.0,24
126,2571,25.0,25
127,2584,13.0,13
128,2599,15.0,15
129,2616,17.0,17
130,2633,17.0,17
131,2667,34.0,34
132,2678,11.0,11
133,2691,13.0,13
134,2704,13.0,13
135,2721,17.0,17
