episode,timestep,return,length
1,29,29.0,29
2,39,10.0,10
3,50,11.0,11
4,86,36.0,36
5,99,13.0,13
6,115,16.0,16
7,132,17.0,17
8,151,19.0,19
9,188,37.0,37
10,215,27.0,27
11,230,15.0,15
12,243,13.0,13
13,266,23.0,23
14,276,10.0,10
15,305,29.0,29
16,323,18.0,18
17,334,11.0,11
18,345,11.0,11
19,391,46.0,46
20,402,11.0,11
21,434,32.0,32
22,481,47.0,47
23,497,16.0,16
24,523,26.0,26
25,557,34.0,34
26,573,16.0,16
27,592,19.0,19
28,614,22.0,22
29,638,24.0,24
30,653,15.0,15
31,664,11.0,11
32,681,17.0,17
33,694,13.0,13
34,724,30.0,30
35,740,16.0,16
36,806,66.0,66
37,837,31.0,31
38,855,18.0,18
39,880,25.0,25
40,899,19.0,19
41,909,10.0,10
42,936,27.0,27
43,948,12.0,12
44,960,12.0,12
45,974,14.0,14
46,991,17.0,17
47,1005,14.0,14
48,1020,15.0,15
49,1034,14.0,14
50,1044,10.0,10
51,1054,10.0,10
52,1071,17.0,17
53,1151,80.0,80
54,1177,26.0,26
55,1204,27.0,27
56,1218,14.0,14
57,1230,12.0,12
58,1269,39.0,39
59,1284,15.0,15
60,1296,12.0,12
61,1318,22.0,22
62,1332,14.0,14
63,1370,38.0,38
64,1381,11.0,11
65,1393,12.0,12
66,1410,17.0,17
67,1452,42.0,42
68,1463,11.0,11
69,1474,11.0,11
70,1486,12.0,12
71,1511,25.0,25
72,1540,29.0,29
73,1552,12.0,12
74,1563,11.0,11
75,1582,19.0,19
76,1598,16.0,16
77,1607,9.0,9
78,1621,14.0,14
79,1633,12.0,12
80,1658,25.0,25
81,1677,19.0,19
82,1693,16.0,16
83,1728,35.0,35
84,1738,10.0,10
85,1750,12.0,12
86,1773,23.0,23
87,1790,17.0,17
88,1814,24.0,24
89,1828,14.0,14
90,1849,21.0,21
91,1864,15.0,15
92,1880,16.0,16
93,1891,11.0,11
94,1918,27.0,27
95,1930,12.0,12
96,1957,27.0,27
97,1972,15.0,15
98,1988,16.0,16
99,2010,22.0,22
100,2037,27.0,27
101,2046,9.0,9
102,2060,14.0,14
103,2091,31.0,31
104,2110,19.0,19
105,2131,21.0,21
106,2145,14.0,14
107,2158,13.0,13
108,2169,11.0,11
109,2183,14.0,14
110,2197,14.0,14
111,2215,18.0,18
112,2227,12.0,12
113,2246,19.0,19
114,2269,23.0,23
115,2281,12.0,12
116,2305,24.0,24
117,2316,11.0,11
118,2325,9.0,9
119,2334,9.0,9
120,2351,17.0,17
121,2364,13.0,13
122,2391,27.0,27
123,2403,12.0,12
124,2426,23.0,23
125,2435,9.0,9
126,2446,11.0,11
127,2460,14.0,14
128,2506,46.0,46
129,2525,19.0,19
130,2543,18.0,18
131,2573,30.0,30
132,2595,22.0,22
133,2665,70.0,70
134,2709,44.0,44
135,2724,15.0,15
